cell_class,snv_n_snv_rows_three_end,snv_n_unique_snvs_three_end,snv_mean_three_end,snv_median_three_end,snv_p90_three_end,snv_p95_three_end,snv_top50_mean_three_end,snv_n_snv_rows_full_length,snv_n_unique_snvs_full_length,snv_mean_full_length,snv_median_full_length,snv_p90_full_length,snv_p95_full_length,snv_top50_mean_full_length,n_cells_three_end,n_cells_full_length,cell_mean_three_end,cell_median_three_end,cell_p90_three_end,cell_p95_three_end,cell_top_n_mean_three_end,cell_mean_full_length,cell_median_full_length,cell_p90_full_length,cell_p95_full_length,cell_top_n_mean_full_length,snv_mean_rank_three_end,snv_mean_rank_full_length,snv_mean_rank_delta,snv_median_rank_three_end,snv_median_rank_full_length,snv_median_rank_delta,cell_mean_rank_three_end,cell_mean_rank_full_length,cell_mean_rank_delta,cell_median_rank_three_end,cell_median_rank_full_length,cell_median_rank_delta,snv_mean_log2_ratio_full_vs_three,cell_mean_log2_ratio_full_vs_three,joint_mean_abs_rank_delta,joint_median_abs_rank_delta,snv_mean_rank_concordant,cell_mean_rank_concordant,joint_mean_rank_concordant,snv_direction,cell_direction,direction_concordant
Fibroblast,741,741,4.354660584564103,3.832692385,7.350331783,8.6848659519999991,10.29657661486,2750,2750,3.3412543160486363,2.7689232825000003,6.4323156355,8.151762365199989,14.83393400249,2990,23375,1.5383485228066698,1.5455538281949226,1.7175316408728738,1.782213782481152,1.8632212471004357,1.329234421819174,1.331805962946347,1.7198329730069537,1.8380776589609855,2.2824533442567874,5,7,2,4,6,2,5,8,3,5,8,3,-0.3821704791210837,-0.21078683360345007,2.5,2.5,TRUE,FALSE,FALSE,three_end_higher,three_end_higher,TRUE
Keratinocyte,2291,2291,5.913932000654118,4.987765312,10.5376606,12.657292365,22.66133004546,925,925,5.929508346579279,4.426367283,12.265542222,15.922271535999997,23.074602928,7469,7692,1.7717936625305026,1.808449225734984,2.105702527320898,2.2634731170399283,2.649544949237012,1.5492895859410805,1.709284409983245,2.1476240212274145,2.2889907789408817,2.624961975078756,3,4,1,2,4,2,3,5,2,2,4,2,0.0037948314542501794,-0.19360377086575278,1.5,2,TRUE,TRUE,TRUE,similar,three_end_higher,TRUE
Endothelial,826,826,1.9514669325266345,1.751609206,3.289829731,3.68333393375,4.39278529164,1149,1149,3.3817236238124457,2.741714954,6.8782430652,8.43352870959998,11.40779127174,4198,11659,1.0193212434727228,1.0221230110382606,1.1891052069710342,1.2506832527062408,1.3455285345808825,1.375226087213482,1.3957476616378313,1.7502841331639696,1.8717869499746231,2.234659440931319,8,6,-2,8,7,-1,8,6,-2,8,6,-2,0.7931997416395364,0.43206002253684017,2,1.5,TRUE,TRUE,TRUE,full_higher,full_higher,TRUE
Perivascular smooth muscle,177,177,2.3494418727881357,2.133141518,4.2737323762,5.3509222984000004,4.24919108626,514,514,3.156858875015564,2.624424815,6.106789016699999,7.435487628149996,8.13921135912,1615,6165,1.1544721315948163,1.159890319163761,1.4289882044680824,1.5366417168542583,1.552271149362618,1.3301068216948209,1.332031691400872,1.7347178097925935,1.8717213800519132,2.1305592886490827,7,8,1,7,8,1,7,7,0,7,7,0,0.4261716928385446,0.2043087665388877,0.5,0.5,TRUE,TRUE,TRUE,full_higher,full_higher,TRUE
T cell,90,90,1.3147101034777775,1.136321664,1.91306833,2.231021327249999,1.70628255848,750,750,2.309137306298666,2.0461564064999997,3.9529658081000014,4.6522198918,5.41629681586,2436,8909,0.7754953537700364,0.7479652199841356,1.0199260272466126,1.0868343847687507,1.2171400238383256,1.0968755547246336,1.1046412077881025,1.4118025995700303,1.5264245716486695,1.7870508897744324,9,9,0,9,9,0,9,9,0,9,9,0,0.8126092443320199,0.5002098122608681,0,0,TRUE,TRUE,TRUE,full_higher,full_higher,TRUE
Plasma cell,58,58,47.20947411558621,36.342830655,96.80201567700004,117.53534122,52.9750585128,19,19,16.98518758094737,9.316495895,35.27181854199999,50.445932772999946,16.98518758094737,922,492,3.7118125624402256,3.744604303563413,4.261439124498582,4.470730018044613,4.329204316917102,2.4123716997799445,2.3337441573741926,3.500321910657288,3.888849300206635,3.2589372667292573,1,1,0,1,2,1,1,2,1,1,2,1,-1.4747992611638605,-0.6216716439502312,0.5,1,TRUE,TRUE,TRUE,three_end_higher,three_end_higher,TRUE
Myeloid/dendritic,544,544,2.6661781493318015,2.4030411244999996,4.094017839599999,4.768535328150001,5.26561669344,611,611,4.239067728527005,3.616464615,8.109064102,9.0856227875,9.80958772632,2778,5159,1.2583832761346625,1.253037591302243,1.3983403855749927,1.4506866350706031,1.5226861833059313,1.553959260289017,1.571667802226057,1.8741022475820657,1.9754306743583632,2.1593542813496622,6,5,-1,6,5,-1,6,4,-2,6,5,-1,0.6689738348448949,0.3043772788807777,1.5,1,TRUE,TRUE,TRUE,full_higher,full_higher,TRUE
Mast cell,103,103,4.445468785097088,3.358118296,8.012472248,11.873776433999993,6.61299186706,5,5,7.60444324,8.619446754,12.434491348,12.527965164,7.60444324,1011,106,1.5894210762095564,1.5662495668346097,1.911465020321881,2.053759722995019,1.986845031539582,1.9961073405081444,2.2637867530920017,2.611644947130495,2.611644947130495,1.9961073405081444,4,3,-1,5,3,-2,4,3,-1,4,3,-1,0.7745070621194448,0.32868792332261587,1,1.5,TRUE,TRUE,TRUE,full_higher,full_higher,TRUE
Adnexal epithelial,261,261,11.896741128597702,4.919228077,28.10726547,46.25682449,41.52384008437,18,18,14.99775319711111,10.101305963,32.43977508500001,40.92166729399999,14.99775319711111,2032,392,2.225788181440591,1.7399125700453693,3.718343096119061,3.887997675538452,3.9613998079065063,2.56756102028856,2.5221488650206467,3.1614917742801785,3.4223002088432932,2.9198287938648666,2,2,0,3,1,-2,2,1,-1,3,1,-2,0.3341799572262573,0.20608225962139046,0.5,2,TRUE,TRUE,TRUE,full_higher,full_higher,TRUE
