platform,source_cluster,cell_class,marker_hits,assignment_margin,matched_marker_genes,n_cells,retained
Full-length RNA-seq,9,Low information,3,2,HSPA1A;HSPA1B;UBC,2619,FALSE
Full-length RNA-seq,10,Fibroblast,5,5,COL1A2;COL1A1;ROR2;MEG3;SLIT3,2183,TRUE
Full-length RNA-seq,11,Keratinocyte,8,7,DSP;DSC3;IRF6;SERPINB5;DSG3;LAMB3;KRT14;KRT5,1338,TRUE
Full-length RNA-seq,12,B cell,9,5,CD83;MS4A1;BANK1;LYN;SWAP70;CD74;BCL2;HLA-DRB1;BLK,1264,TRUE
Full-length RNA-seq,13,Plasma cell,9,6,IGHG1;XBP1;IGKC;HERPUD1;ST6GAL1;TENT5C;IRF4;IGHG4;POU2AF1,1212,TRUE
Full-length RNA-seq,14,Mast cell,5,4,HDC;SLC24A3;KIT;IL1RL1;IL18R1,860,TRUE
Full-length RNA-seq,15,Adnexal epithelial,2,1,ESRRG;KRT7,738,TRUE
Full-length RNA-seq,16,Fibroblast,2,1,LAMA2;LTBP2,664,TRUE
Full-length RNA-seq,17,Schwann,7,7,CDH19;NRXN1;NTM;NRXN3;FRMD5;CADM1;L1CAM,441,TRUE
Full-length RNA-seq,18,Melanocyte,12,11,FMN1;LINC01320;TRPM1;GCNT2;PLEKHA5;DCT;KIT;INPP4B;PMEL;TYR;SOX5;TYRP1,205,TRUE
Full-length RNA-seq,19,Other immune,8,7,RUBCN;SLC15A4;LPXN;IL3RA;SEL1L3;PAG1;STK4;RHEX,108,TRUE
