cell_class,metric,metric_label,n_cells_three_end,n_cells_full_length,mean_three_end,mean_full_length,median_three_end,median_full_length,positive_fraction_three_end,positive_fraction_full_length,median_delta_full_minus_three,positive_fraction_delta_full_minus_three,standardized_mean_difference,wilcox_p_value,ks_statistic,ks_p_value,test_status
Fibroblast,perturbation_score_euclidean,Euclidean score,2990,23375,1.5383485228066698,1.329234421819174,1.5455538281949226,1.331805962946347,1,1,-0.21374786524857559,0,-0.6785922261922281,0,0.44382766083021846,0,ok
Keratinocyte,perturbation_score_euclidean,Euclidean score,7469,7692,1.7717936625305026,1.5492895859410805,1.808449225734984,1.709284409983245,1,1,-0.09916481575173908,0,-0.4692751243742195,7.475846575409183e-77,0.2006499807455145,6.1038435473277064e-133,ok
Endothelial,perturbation_score_euclidean,Euclidean score,4198,11659,1.0193212434727228,1.375226087213482,1.0221230110382606,1.3957476616378313,1,1,0.3736246505995706,0,1.2160344954497284,0,0.6642893268336152,0,ok
Perivascular smooth muscle,perturbation_score_euclidean,Euclidean score,1615,6165,1.1544721315948163,1.3301068216948209,1.159890319163761,1.332031691400872,1,1,0.172141372237111,0,0.5603558439029914,4.324562951549986e-110,0.3124308552976832,6.2579099429078255e-109,ok
T cell,perturbation_score_euclidean,Euclidean score,2436,8909,0.7754953537700364,1.0968755547246336,0.7479652199841356,1.1046412077881023,1,1,0.3566759878039667,0,1.266230264830277,0,0.6190146271892355,0,ok
Plasma cell,perturbation_score_euclidean,Euclidean score,922,492,3.7118125624402256,2.4123716997799445,3.7446043035634125,2.3337441573741926,1,1,-1.4108601461892198,0,-2.0158913042470616,4.778144579654176e-136,0.7253011304516517,5.16769018595253e-147,ok
Myeloid/dendritic,perturbation_score_euclidean,Euclidean score,2778,5159,1.2583832761346623,1.5539592602890173,1.2530375913022427,1.571667802226057,1,1,0.3186302109238144,0,1.2408660553197695,0,0.656330908917866,0,ok
Mast cell,perturbation_score_euclidean,Euclidean score,1011,106,1.5894210762095564,1.9961073405081444,1.5662495668346097,2.2637867530920017,1,1,0.697537186257392,0,1.2802664082438198,1.1277481809557104e-10,0.6034656514192934,8.98474659611096e-31,ok
Adnexal epithelial,perturbation_score_euclidean,Euclidean score,2032,392,2.225788181440591,2.56756102028856,1.7399125700453693,2.5221488650206467,1,1,0.7822362949752775,0,0.37428832892391845,7.596104160270786e-27,0.57667121966897,2.416310924723112e-95,ok
