platform,celltype,n_marker_genes,marker_genes,cell_class,marker_hits,second_marker_hits,assignment_margin,matched_marker_genes
3-end RNA-seq,22,20,CPVL;IRF8;WDFY4;HLA-DPB1;CD74;LYZ;HLA-DPA1;RUBCNL;HLA-DRB1;HLA-DQB1;HLA-DRA;HDAC9;CST3;HLA-DQA1;LCP1;PPT1;LGALS2;C1ORF54;PLEK;ACTB,Myeloid/dendritic,14,7,7,CPVL;IRF8;WDFY4;HLA-DPB1;CD74;LYZ;HLA-DPA1;HLA-DRB1;HLA-DQB1;HLA-DRA;CST3;HLA-DQA1;LCP1;PLEK
3-end RNA-seq,23,20,CCL21;PTPRE;TFPI;PPFIBP1;SEMA3A;DYSF;FN1;RHOJ;KALRN;TBX1;PROX1;MMRN1;FBXL7;FLT4;COLEC12;SPTBN1;ARHGAP29;ZNF521;TIE1;PDPN,Endothelial,5,0,5,CCL21;RHOJ;PROX1;MMRN1;FLT4
3-end RNA-seq,24,20,PMEL;FMN1;MLANA;DCT;TYRP1;TRPM1;MITF;CAPN3;CYTH3;INPP4B;PLEKHA5;CDH19;LINC01320;TYR;SOX5;PLXNC1;SGCD;MTHFD1L;NAV3;ENSG00000283674,Melanocyte,13,1,12,PMEL;FMN1;MLANA;DCT;TYRP1;TRPM1;MITF;CAPN3;INPP4B;PLEKHA5;LINC01320;TYR;SOX5
3-end RNA-seq,25,20,CDH19;CRYAB;GPM6B;ERBB3;NTM;SPARC;PMP22;COL18A1;SEMA3B;IGFBP5;CNN3;GAS7;VIM;SOX10;FRMD5;SOX5;COL4A2;SDC3;COL8A1;SPTBN1,Schwann,8,1,7,CDH19;GPM6B;ERBB3;NTM;PMP22;GAS7;SOX10;FRMD5
3-end RNA-seq,26,20,CST3;SELE;SELP;IDO1;S100B;C1ORF54;CD74;CALCRL;IGFBP7;RGS16;SPARCL1;CCL14;ACKR1;PRCP;LYZ;CXCL9;COL15A1;RAI14;HLA-DQA1;HLA-DPB1,Myeloid/dendritic,5,4,1,CST3;CD74;LYZ;HLA-DQA1;HLA-DPB1
3-end RNA-seq,3,20,DEFB1;C19ORF33;ATP1B3;SEMA3C;MT1X;ATP1A1;MT-CO3;HES1;FXYD3;RPS21;RPS6;RPL10A;RPS18;MT-ND2;RPL32;SAT1;SESN3;RPS14;MT-CO1;RPL34,Low information,9,0,9,MT-CO3;RPS21;RPS6;RPL10A;RPS18;MT-ND2;RPL32;MT-CO1;RPL34
3-end RNA-seq,4,20,HLA-DRA;HLA-DRB1;HLA-DQB1;HLA-DPB1;HLA-DPA1;HLA-DQA1;CD74;HLA-DMB;TYROBP;CTSZ;CD83;CSF2RA;CTSH;FCER1G;HLA-DMA;LITAF;IFI30;HCK;AIF1;SLC8A1,Myeloid/dendritic,14,8,6,HLA-DRA;HLA-DRB1;HLA-DQB1;HLA-DPB1;HLA-DPA1;HLA-DQA1;CD74;TYROBP;CTSZ;CD83;CSF2RA;CTSH;FCER1G;AIF1
3-end RNA-seq,5,20,COL1A2;DCN;COL6A1;COL3A1;COL6A3;COL1A1;COL6A2;PRRX1;LUM;CCDC80;CTSK;FSTL1;TIMP2;C1S;PCOLCE;LRP1;AEBP1;FBN1;C1R;FBLN2,Fibroblast,12,0,12,COL1A2;DCN;COL6A1;COL3A1;COL6A3;COL1A1;COL6A2;PRRX1;LUM;CCDC80;FBN1;FBLN2
3-end RNA-seq,6,20,KRT14;SFN;COL17A1;PKP3;KRT16;KRT5;NDRG1;ITGA6;KRT6A;SLC2A1;KRT17;TP63;LAMC2;P3H2;NEFL;TENM2;CAV1;MMP1;CDH3;CXCL14,Keratinocyte,8,0,8,KRT14;SFN;COL17A1;PKP3;KRT16;KRT5;KRT17;TP63
3-end RNA-seq,7,20,KRT6A;S100A8;S100A9;SFN;PKP1;DSP;DSG3;AKR1B10;S100A14;FABP5;AQP3;CSTA;KLF5;KRT14;JUP;LY6D;TYMP;LAD1;DSC3;IFI27,Keratinocyte,12,0,12,S100A8;S100A9;SFN;PKP1;DSP;DSG3;S100A14;AQP3;CSTA;KRT14;JUP;DSC3
